extraction,A,B
285,18023,18243
286,18023,18132
287,18171,20913
288,18171,20768
289,18171,20651
290,18171,20509
291,18171,20395
292,18171,20268
293,18171,20169
294,18171,20027
295,18171,19913
296,18171,19795
297,18171,19705
298,18171,19593
299,18171,19509
300,18171,19379
301,18171,19277
302,18171,19159
303,18171,19068
304,18171,18866
305,18171,18692
306,18171,18523
307,18171,18382
308,18252,20913
309,18252,20768
310,18252,20651
311,18252,20509
312,18252,20395
313,18252,20268
314,18252,20169
315,18252,20027
316,18252,19913
317,18252,19795
318,18252,19705
319,18252,19593
320,18252,19509
321,18252,19379
322,18252,19277
323,18252,19159
324,18252,19068
325,18252,18866
326,18252,18692
327,18252,18523
328,18252,18382
329,18431,20913
330,18431,20768
331,18431,20651
332,18431,20509
333,18431,20395
334,18431,20268
335,18431,20169
336,18431,20027
337,18431,19913
338,18431,19795
339,18431,19705
340,18431,19593
341,18431,19509
342,18431,19379
343,18431,19277
344,18431,19159
345,18431,19068
346,18431,18866
347,18431,18692
348,18532,20913
349,18532,20768
350,18532,20651
351,18532,20509
352,18532,20395
353,18532,20268
354,18532,20169
355,18532,20027
356,18532,19913
357,18532,19795
358,18532,19705
359,18532,19593
360,18532,19509
361,18532,19379
362,18532,19277
363,18532,19159
364,18532,19068
365,18532,18866
366,18532,18692
367,18752,20913
368,18752,20768
369,18752,20651
370,18752,20509
371,18752,20395
372,18752,20268
373,18752,20169
374,18752,20027
375,18752,19913
376,18752,19795
377,18752,19705
378,18752,19593
379,18752,19509
380,18752,19379
381,18752,19277
382,18752,19159
383,18752,19068
384,18875,20913
385,18875,20768
386,18875,20651
387,18875,20509
388,18875,20395
389,18875,20268
390,18875,20169
391,18875,20027
392,18875,19913
393,18875,19795
394,18875,19705
395,18875,19593
396,18875,19509
397,18875,19379
398,18875,19277
399,18875,19159
400,18875,19068
401,19101,20913
402,19101,20768
403,19101,20651
404,19101,20509
405,19101,20395
406,19101,20268
407,19101,20169
408,19101,20027
409,19101,19913
410,19101,19795
411,19101,19705
412,19101,19593
413,19101,19509
414,19101,19379
415,19101,19277
416,19168,20913
417,19168,20768
418,19168,20651
419,19168,20509
420,19168,20395
421,19168,20268
422,19168,20169
423,19168,20027
424,19168,19913
425,19168,19795
426,19168,19705
427,19168,19593
428,19168,19509
429,19168,19379
430,19168,19277
431,19313,20913
432,19313,20768
433,19313,20651
434,19313,20509
435,19313,20395
436,19313,20268
437,19313,20169
438,19313,20027
439,19313,19913
440,19313,19795
441,19313,19705
442,19313,19593
443,19313,19509
444,19388,20913
445,19388,20768
446,19388,20651
447,19388,20509
448,19388,20395
449,19388,20268
450,19388,20169
451,19388,20027
452,19388,19913
453,19388,19795
454,19388,19705
455,19388,19593
456,19388,19509
457,19539,20913
458,19539,20768
459,19539,20651
460,19539,20509
461,19539,20395
462,19539,20268
463,19539,20169
464,19539,20027
465,19539,19913
466,19539,19795
467,19539,19705
468,19602,20913
469,19602,20768
470,19602,20651
471,19602,20509
472,19602,20395
473,19602,20268
474,19602,20169
475,19602,20027
476,19602,19913
477,19602,19795
478,19602,19705
479,19737,20913
480,19737,20768
481,19737,20651
482,19737,20509
483,19737,20395
484,19737,20268
485,19737,20169
486,19737,20027
487,19737,19913
488,19804,20913
489,19804,20768
490,19804,20651
491,19804,20509
492,19804,20395
493,19804,20268
494,19804,20169
495,19804,20027
496,19804,19913
497,19953,20913
498,19953,20768
499,19953,20651
500,19953,20509
501,19953,20395
502,19953,20268
503,19953,20169
504,20036,20913
505,20036,20768
506,20036,20651
507,20036,20509
508,20036,20395
509,20036,20268
510,20036,20169
511,20204,20913
512,20204,20768
513,20204,20651
514,20204,20509
515,20204,20395
516,20277,20913
517,20277,20768
518,20277,20651
519,20277,20509
520,20277,20395
521,20435,20913
522,20435,20768
523,20435,20651
524,20518,20913
525,20518,20768
526,20518,20651
527,20692,20913
528,20777,20913
